Filename,Dice A,Dice B,Dice C,Dice D,Dice D1,Dice D2,Time A,Time B,Time C,Time D,Time D1,Time D2,NMAD A,NMAD B,NMAD C,NMAD D R2,NMAD D1 R2,NMAD D2 R2,
A428705,0.813,0.776,0.79,0.841,0.846,0.849,748,338,498,335,450,635,0.1542,0.2811,0.766,0.292,0.2854,0.2805,
B428705,0.783,0.768,0.805,0.801,0.83,0.84,749,337,514,286,464,638,0.0456,0.0572,0.5355,0.0401,0.0389,0.038,
C428705,0.683,0.649,0.707,0.743,0.755,0.761,750,337,524,286,467,646,0.13,0.2253,0.6347,0.2306,0.2247,0.2203,
D428705,0.699,0.668,0.761,0.745,0.762,0.768,749,337,518,286,466,646,0.1562,0.288,0.8738,0.3032,0.2952,0.2892,
E428705,0.727,0.721,0.796,0.771,0.792,0.793,748,336,520,288,465,638,0.0574,0.0606,0.4179,0.0518,0.0478,0.0452,
F428705,0.673,0.642,0.705,0.729,0.74,0.749,746,338,552,285,471,649,0.1353,0.2629,1.1028,0.2958,0.2865,0.2796,
G428705,0.646,0.607,0.745,0.754,0.766,0.771,745,338,526,289,462,639,0.0678,0.1059,0.5376,0.0917,0.0892,0.0878,
H428705,0.652,0.625,0.721,0.767,0.776,0.78,744,337,517,285,459,636,0.0393,0.0455,0.349,0.0271,0.0257,0.0249,
B777394,0.833,0.829,0.915,0.893,0.898,0.898,676,258,497,252,415,572,0.0901,0.1351,0.5753,0.136,0.133,0.1309,
C777394,0.874,0.857,0.917,0.917,0.916,0.915,675,257,479,248,413,573,0.0361,0.0509,0.4238,0.0494,0.0467,0.0449,
D777394,0.856,0.85,0.921,0.891,0.889,0.888,674,258,482,253,420,571,0.0444,0.0601,0.5108,0.0741,0.0701,0.0676,
E777394,0.847,0.812,0.909,0.916,0.917,0.915,674,258,478,254,418,572,0.0233,0.0267,0.4189,0.0311,0.0257,0.0216,
F777394,0.883,0.875,0.911,0.92,0.921,0.923,674,257,489,249,415,581,0.065,0.075,0.5614,0.0692,0.0658,0.0633,
G777394,0.842,0.84,0.908,0.886,0.889,0.892,674,258,483,252,417,574,0.0673,0.0881,0.5224,0.0925,0.0897,0.0876,
H777394,0.78,0.793,0.858,0.827,0.837,0.835,675,258,481,254,419,571,0.0282,0.029,0.4776,0.0262,0.0247,0.0236,
A789355,0.859,0.835,0.832,0.907,0.904,0.902,596,208,445,226,374,517,0.128,0.1502,0.4909,0.1321,0.1291,0.1271,
B789355,0.776,0.779,0.841,0.844,0.871,0.895,603,208,449,226,374,514,0.135,0.1831,0.5086,0.1702,0.1657,0.1637,
C789355,0.654,0.652,0.864,0.737,0.76,0.784,599,208,443,224,374,515,0.0645,0.0622,0.2773,0.0541,0.0485,0.0451,
D789355,0.811,0.779,0.85,0.877,0.893,0.902,600,208,437,223,372,517,0.0789,0.1045,0.3626,0.0922,0.0902,0.0888,
E789355,0.705,0.696,0.899,0.783,0.807,0.825,605,208,448,226,376,519,0.1343,0.1916,0.5161,0.1866,0.1812,0.1785,
F789355,0.782,0.768,0.879,0.867,0.889,0.899,611,208,449,225,374,515,0.0961,0.1111,0.419,0.098,0.0928,0.0906,
G789355,0.75,0.734,0.869,0.824,0.848,0.858,616,208,453,223,370,515,0.1424,0.2219,0.5806,0.2221,0.2158,0.2115,
H789355,0.774,0.757,0.872,0.845,0.871,0.883,617,208,462,226,377,516,0.1207,0.1516,0.4962,0.1366,0.1327,0.1309,
A000598,0.725,0.657,0.658,0.751,0.753,0.749,389,169,250,143,237,326,0.0842,0.1559,0.3108,0.1314,0.1271,0.1237,
B000598,0.717,0.683,0.728,0.74,0.741,0.737,388,168,249,143,238,323,0.0655,0.1227,0.2738,0.0903,0.0883,0.0872,
C000598,0.642,0.617,0.69,0.762,0.761,0.752,388,167,248,142,239,322,0.1002,0.1904,0.3302,0.1729,0.1691,0.1672,
D000598,0.696,0.652,0.697,0.77,0.773,0.773,390,168,252,142,234,327,0.084,0.1615,0.2788,0.136,0.1321,0.1297,
E000598,0.751,0.697,0.762,0.779,0.78,0.777,388,168,245,143,237,324,0.0585,0.1074,0.2303,0.0745,0.0727,0.0718,
F000598,0.761,0.704,0.698,0.8,0.786,0.779,394,168,249,144,235,322,0.0903,0.164,0.3337,0.1278,0.1247,0.1231,
G000598,0.697,0.628,0.723,0.77,0.773,0.762,388,169,245,143,235,323,0.0679,0.1128,0.2461,0.0801,0.0778,0.0766,
H000598,0.701,0.631,0.669,0.788,0.784,0.777,389,168,254,143,237,328,0.0941,0.1491,0.2919,0.1084,0.1063,0.105,
A688080,0.765,0.743,0.786,0.836,0.837,0.834,696,324,429,251,409,568,0.121,0.1869,0.5715,0.177,0.1732,0.1707,
B688080,0.745,0.717,0.739,0.805,0.806,0.811,695,324,410,250,409,563,0.1058,0.1868,0.5719,0.1792,0.1756,0.1732,
C688080,0.732,0.708,0.741,0.772,0.795,0.797,696,323,414,251,410,571,0.0787,0.1072,0.5009,0.0932,0.0916,0.0907,
D688080,0.747,0.73,0.759,0.805,0.814,0.815,695,325,409,251,414,567,0.1097,0.1781,0.5684,0.1749,0.1719,0.1698,
E688080,0.767,0.724,0.746,0.806,0.808,0.809,697,323,417,251,412,561,0.1059,0.151,0.5967,0.1369,0.135,0.1333,
F688080,0.724,0.714,0.739,0.803,0.809,0.806,695,324,405,250,408,564,0.0944,0.1519,0.5158,0.1428,0.14,0.1382,
G688080,0.728,0.715,0.729,0.814,0.81,0.811,696,322,418,253,406,564,0.0806,0.123,0.4189,0.1137,0.1114,0.1102,
H688080,0.678,0.663,0.713,0.785,0.791,0.788,696,323,407,249,410,569,0.0778,0.1086,0.4206,0.0961,0.0943,0.0933,
A779882,0.873,0.823,0.886,0.896,0.911,0.912,694,303,423,250,415,565,0.1283,0.1904,0.5569,0.1837,0.1795,0.1764,
B779882,0.757,0.742,0.806,0.835,0.859,0.88,695,304,431,249,408,564,0.1872,0.3012,0.8694,0.3244,0.3146,0.3078,
C779882,0.701,0.678,0.775,0.794,0.824,0.848,696,304,443,246,407,560,0.1489,0.2169,0.6642,0.2153,0.2092,0.2061,
D779882,0.655,0.646,0.721,0.727,0.757,0.802,694,303,438,245,407,563,0.1819,0.2867,0.7677,0.3039,0.2946,0.2885,
E779882,0.633,0.653,0.713,0.729,0.769,0.797,694,303,434,247,410,569,0.0729,0.0924,0.3867,0.0778,0.0753,0.0738,
F779882,0.664,0.666,0.737,0.78,0.815,0.837,693,303,431,250,412,569,0.0912,0.117,0.3405,0.1047,0.103,0.1021,
G779882,0.715,0.713,0.779,0.827,0.855,0.864,691,306,437,247,409,570,0.1067,0.1541,0.479,0.1453,0.1404,0.1372,
H779882,0.698,0.69,0.776,0.783,0.819,0.851,693,302,448,248,412,566,0.1097,0.1521,0.4814,0.1454,0.1405,0.1372,
A780004,0.876,0.858,0.881,0.929,0.931,0.93,680,298,447,249,408,561,0.1597,0.2751,0.7926,0.2869,0.2808,0.2772,
B780004,0.87,0.816,0.862,0.891,0.895,0.896,679,299,438,251,419,578,0.0658,0.0863,0.5917,0.0685,0.0676,0.0672,
D780004,0.845,0.833,0.855,0.891,0.894,0.888,684,300,438,249,419,581,0.0502,0.07,0.4923,0.0559,0.0542,0.0531,
E780004,0.872,0.808,0.854,0.891,0.895,0.896,685,299,439,252,422,586,0.0511,0.0657,0.4578,0.0474,0.0459,0.0454,
F780004,0.884,0.814,0.87,0.893,0.891,0.888,683,299,448,257,427,588,0.0978,0.1648,0.6301,0.1665,0.1633,0.1611,
G780004,0.871,0.814,0.863,0.887,0.886,0.893,684,300,454,258,425,584,0.0505,0.0632,0.5712,0.044,0.0424,0.0415,
H780004,0.883,0.835,0.864,0.895,0.898,0.899,687,299,441,257,415,570,0.0894,0.1267,0.5677,0.1133,0.1108,0.1097,
B780334,0.579,0.589,0.553,0.678,0.719,0.713,628,272,426,228,380,526,0.1077,0.1697,0.3725,0.1559,0.1531,0.1512,
C780334,0.564,0.577,0.609,0.698,0.743,0.744,641,272,432,227,386,527,0.0608,0.0963,0.3284,0.1138,0.1094,0.1062,
D780334,0.566,0.602,0.63,0.688,0.721,0.728,631,271,424,231,385,531,0.048,0.0767,0.3326,0.057,0.0557,0.055,
E780334,0.671,0.692,0.68,0.77,0.784,0.791,629,271,422,234,385,530,0.0813,0.1231,0.3127,0.11,0.1087,0.1079,
F780334,0.751,0.74,0.752,0.841,0.835,0.831,632,272,415,229,375,521,0.067,0.1104,0.3145,0.1057,0.1024,0.1007,
,,,,,,,,,,,,,,,,,,,
MEAN,0.7493,0.7268,0.7851,0.8135,0.8254,0.8303,639.34,270.83,426.34,236.51,388.27,535.59,0.0918,0.1401,0.4937,0.1316,0.1279,0.1256,
MEDIAN,0.747,0.717,0.776,0.805,0.815,0.831,679.5,298.5,438,249,409,564.5,0.0868,0.1249,0.4916,0.1135,0.1101,0.1088,
STD,0.0858,0.0797,0.0873,0.0651,0.0594,0.0595,106.81,56.14,77.81,40.29,65.1,90.46,0.0371,0.0658,0.1677,0.0726,0.071,0.0699,
,,,,,,,,,,,,,,,,,,,
Filename,Dice A,Dice B,Dice C,Dice D,Dice D1,Dice D2,Time A,Time B,Time C,Time D,Time D1,Time D2,NMAD A,NMAD B,NMAD C,NMAD D R2,NMAD D1 R2,NMAD D2 R2,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Compare,7.8918254456054,10.6576521204671,3.49108789182544,,1.44172522413376,2.02336504877755,2.70322607923555,1.14511014333432,1.80262990994038,,1.64166420024523,2.26455540991924,0.697568389057751,1.0645896656535,3.75151975683891,,0.971884498480243,0.954407294832827,Mean
,7.20496894409939,10.9316770186336,3.60248447204969,,1.22699386503068,3.12876052948255,2.7289156626506,1.19879518072289,1.75903614457831,,1.6425702811245,2.26706827309237,0.764757709251101,1.10044052863436,4.33127753303965,,0.970044052863436,0.958590308370044,Median
,%,%,%,,%,%,times,times,times,,times,times,times,times,times,,times,times,
